date,game_no,vis,home,,temp,wind_speed,conditions,percip
4/16/1990,0,BAL,TOR,329790BALTOR,null,null,unknown,null
4/17/1990,0,OAK,ANA,329800OAKCAL,62,20,night,no precipitation
4/17/1990,0,BOS,CHA,329800BOSCHA,38,13,night,no precipitation
4/17/1990,0,SDN,CIN,329800SDNCIN,50,null,overcast,no precipitation
4/17/1990,0,NYA,DET,329800NYADET,null,null,night,no precipitation
4/17/1990,0,ATL,HOU,329800ATLHOU,null,null,in dome,null
4/17/1990,0,CLE,KCA,329800CLEKCA,45,0,night,no precipitation
4/17/1990,0,PHI,MON,329800PHIMON,null,null,in dome,null
4/17/1990,0,CHN,NYN,329800CHNNYN,46,null,night,no precipitation
4/17/1990,0,SLN,PIT,329800SLNPIT,42,null,night,no precipitation
4/17/1990,0,MIN,SEA,329800MINSEA,null,null,in dome,null
4/17/1990,0,LAN,SFN,329800LANSFN,62,null,cloudy,no precipitation
4/17/1990,0,MIL,TEX,329800MILTEX,null,null,night,no precipitation
4/17/1990,0,BAL,TOR,329800BALTOR,null,null,unknown,null
4/18/1990,0,OAK,ANA,329810OAKCAL,65,0,night,no precipitation
4/18/1990,0,BOS,CHA,329810BOSCHA,48,12,night,no precipitation
4/18/1990,0,SDN,CIN,329810SDNCIN,55,null,overcast,no precipitation
4/18/1990,0,NYA,DET,329810NYADET,47,null,sunny,no precipitation
4/18/1990,0,ATL,HOU,329810ATLHOU,null,null,in dome,null
4/18/1990,0,CLE,KCA,329810CLEKCA,55,null,night,no precipitation
4/18/1990,0,PHI,MON,329810PHIMON,70,null,night,no precipitation
4/18/1990,0,CHN,NYN,329810CHNNYN,null,null,night,no precipitation
4/18/1990,0,SLN,PIT,329810SLNPIT,51,0,night,no precipitation
4/18/1990,0,MIN,SEA,329810MINSEA,null,null,in dome,null
4/18/1990,0,LAN,SFN,329810LANSFN,null,null,null,no precipitation
4/18/1990,0,MIL,TEX,329810MILTEX,53,null,night,no precipitation
4/18/1990,0,BAL,TOR,329810BALTOR,70,null,in dome,null
4/19/1990,0,DET,BAL,329820DETBAL,63,12,sunny,no precipitation
4/19/1990,0,NYA,CLE,329820NYACLE,64,null,night,no precipitation
4/19/1990,0,HOU,LAN,329820HOULAN,null,null,unknown,null
4/19/1990,0,CHN,NYN,329820CHNNYN,57,20,sunny,no precipitation
4/19/1990,0,SEA,OAK,329820SEAOAK,60,9,night,no precipitation
4/19/1990,0,MON,PHI,329820MONPHI,57,5,night,no precipitation
4/19/1990,0,PIT,SLN,329820PITSLN,58,17,night,no precipitation
4/19/1990,0,MIL,TEX,329820MILTEX,70,null,night,no precipitation
4/20/1990,0,DET,BAL,329830DETBAL,67,null,cloudy,no precipitation
4/20/1990,0,PIT,CHN,329830PITCHN,59,9,overcast,showers
4/20/1990,0,HOU,LAN,329830HOULAN,null,null,night,no precipitation
