date,home_team
4/11/1994,DET
4/11/1994,OAK
4/11/1994,SEA
4/11/1994,TEX
4/11/1994,NYN
4/11/1994,PHI
4/12/1994,ATL
4/12/1994,ANA
4/12/1994,SLN
5/30/1994,BAL
5/30/1994,BOS
5/30/1994,CLE
5/30/1994,MIL
5/30/1994,MIN
5/30/1994,NYA
5/30/1994,CHN
5/30/1994,CIN
5/30/1994,HOU
5/30/1994,LAN
5/30/1994,NYN
5/30/1994,SDN
5/30/1994,SFN
6/24/1994,MON
7/4/1994,BAL
7/4/1994,BOS
7/4/1994,CHA
7/4/1994,CLE
7/4/1994,KCA
7/4/1994,NYA
7/4/1994,TEX
7/4/1994,CHN
7/4/1994,CHN
7/4/1994,ANA
7/4/1994,LAN
7/4/1994,SDN
7/4/1994,SFN
7/4/1994,SLN
4/25/1995,ANA
4/26/1995,BOS
4/26/1995,ANA
4/26/1995,KCA
4/26/1995,MIL
4/26/1995,NYA
4/26/1995,TOR
4/26/1995,ATL
4/26/1995,CIN
4/26/1995,COL
4/26/1995,PIT
4/26/1995,SDN
4/26/1995,SLN
4/27/1995,CHA
4/27/1995,MIN
4/27/1995,SEA
4/27/1995,TEX
4/28/1995,CHN
4/28/1995,HOU
4/28/1995,LAN
4/28/1995,NYN
4/28/1995,PHI
4/28/1995,SFN
5/1/1995,BAL
5/2/1995,DET
5/2/1995,MON
5/5/1995,CLE
5/5/1995,OAK
5/29/1995,ANA
5/29/1995,CLE
5/29/1995,KCA
5/29/1995,MIL
5/29/1995,OAK
5/29/1995,SEA
5/29/1995,CHN
5/29/1995,ANA
5/29/1995,NYN
5/29/1995,PHI
5/29/1995,SLN
6/24/1995,MON
7/1/1995,TOR
7/4/1995,BAL
7/4/1995,ANA
7/4/1995,CHA
7/4/1995,CLE
7/4/1995,DET
7/4/1995,KCA
7/4/1995,OAK
7/4/1995,ATL
7/4/1995,CIN
7/4/1995,COL
7/4/1995,ANA
7/4/1995,NYN
7/4/1995,PIT
7/4/1995,SLN
9/4/1995,BAL
9/4/1995,DET
9/4/1995,KCA
9/4/1995,KCA
9/4/1995,MIN
9/4/1995,NYA
9/4/1995,TEX
9/4/1995,ATL
9/4/1995,CHN
9/4/1995,ANA
9/4/1995,HOU
9/4/1995,LAN
9/4/1995,SDN
9/4/1995,SFN
3/31/1996,SEA
